CI ID,Name,Alias,Approval group,Managed by,Support group,Manufacturer/Vendor,Short Description,Assigned to,Business criticality,Class,Comments,Consumer type,Created by,Domain,Managed By Group,Parent,Problem Manager Group,Problem Owner Group,Product Owner Executive,Product Owner,Revenue Impact,Service Executive ,Service Owner,Service Team,Supported by,Updated by,Text,n_tokens,index
BSN0001777,MIAssocIOT-Occup Sensing-Litehouse,"Occupancy sensing, lighting controls and panels ",IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,,"Contact Tracing reporting. App users will not open tickets. Tickets would be open by MI Product, Facilities or Operations.
Occupancy sensing, lighting controls and panels ",,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001777; Name: MIAssocIOT-Occup Sensing-Litehouse; Alias: Occupancy sensing, lighting controls and panels; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: ; Short Description: Contact Tracing reporting. App users will not open tickets. Tickets would be open by MI Product, Fac; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",194,938
BSN0001761,MIAssocIOT-Parking-IP Parking,"Parking, entrance gate, license plate registration and readers for Marriott HQ ",IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,IP Parking,"Register your vehicle license plate to access the HQ parking garage the Associate App
Parking, entrance gate, license plate registration and readers for Marriott HQ Associates",,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001761; Name: MIAssocIOT-Parking-IP Parking; Alias: Parking, entrance gate, license plate registration and readers for Marriott HQ; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: IP Parking; Short Description: Register your vehicle license plate to access the HQ parking garage the Associate App
Parking, entra; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",196,939
BSN0001763,MIAssocIOT-Parking-Park Help,"Parking, green and red availability sensors, parking spot availability signage,",IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,,"Vendor provides garage sensors and car counters that informs availabiity and trending information visible via the Associate App and garage signage. 
Parking, green and red availability sensors, parking spot availability signage, busy data trends on App for Marriott HQ Associates",,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001763; Name: MIAssocIOT-Parking-Park Help; Alias: Parking, green and red availability sensors, parking spot availability signage,; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: ; Short Description: Vendor provides garage sensors and car counters that informs availabiity and trending information vi; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",192,940
BSN0001787,MIAssocIOT-Reservations-SoloInsight,"Reservations, reserve a workspace (desk) or meeting rooom at Marriott HQ",IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,SoloInsight,"Pre-registration of visitors, designate them as VIP (which will give them a parking pass to the MI garage)  
Reservations, reserve a workspace (desk) or meeting rooom at Marriott HQ",,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001787; Name: MIAssocIOT-Reservations-SoloInsight; Alias: Reservations, reserve a workspace (desk) or meeting rooom at Marriott HQ; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: SoloInsight; Short Description: Pre-registration of visitors, designate them as VIP (which will give them a parking pass to the MI g; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",205,941
BSN0001771,MIAssocIOT-Storage&Delivery-TZ Lockers,"Storage and Delivery,  Lockers for package pick up. ",IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,TZ Systems,"TZ Lockers provides the physical lockers that need to be unlocked. If an Associates receives a QR code  (from SC Logic) to  open a locker to retrieve a package and cannot, the issue might be with SC Logic or TZ lockers. 
Storage and Delivery,  Lockers for package pick up. ",,Tier 4,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001771; Name: MIAssocIOT-Storage&Delivery-TZ Lockers; Alias: Storage and Delivery,  Lockers for package pick up.; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: TZ Systems; Short Description: TZ Lockers provides the physical lockers that need to be unlocked. If an Associates receives a QR co; Assigned to: ; Business criticality: Tier 4; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",200,942
BSN0001789,MIAssocIOT-Visitor Management-SoloInsight,Invite Visitors to visit Marriott HQ,IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,SoloInsight,"Pre-registration of visitors, designate them as VIP (which will give them a parking pass to the MI garage)  
Invite Visitors to visit Marriott HQ",,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001789; Name: MIAssocIOT-Visitor Management-SoloInsight; Alias: Invite Visitors to visit Marriott HQ; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: SoloInsight; Short Description: Pre-registration of visitors, designate them as VIP (which will give them a parking pass to the MI g; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",195,943
BSN0001783,MIAssocIOT-Wayfinding Dynamic-JuniperMist,"Wayfinding, dynamic in building navigation (dynamic wayfinding from user of the ",IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,Juniper Systems Inc.,"Provide directions from where the users is currently located to the point of interest they are trying to find. 
Wayfinding, dynamic in building navigation (dynamic wayfinding from user of the App MOVING to a location in the building)",,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001783; Name: MIAssocIOT-Wayfinding Dynamic-JuniperMist; Alias: Wayfinding, dynamic in building navigation (dynamic wayfinding from user of the; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: Juniper Systems Inc.; Short Description: Provide directions from where the users is currently located to the point of interest they are tryin; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",203,944
BSN0001785,MIAssocIOT-Wayfinding Static-SoloInsight,"Wayfinding, in building navigation (static wayfinding from one location to anoth",IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN,Bruce Nguyen,Service Desk-ENG-L1,SoloInsight,"Provide directions from where the users is currently located to the point of interest they are trying to find. 
Wayfinding, in building navigation (static wayfinding from one location to another location in the building)",,Tier 3,Business Service,,Internal,ijess202,global,,,,,,,,Sarah Searls,Jerry Gray,,,admin,"CI ID: BSN0001785; Name: MIAssocIOT-Wayfinding Static-SoloInsight; Alias: Wayfinding, in building navigation (static wayfinding from one location to anoth; Approval group: IOT-Vendors-Marriott-Associate-App-APPRV-US-CAN; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: SoloInsight; Short Description: Provide directions from where the users is currently located to the point of interest they are tryin; Assigned to: ; Business criticality: Tier 3; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sarah Searls; Service Owner: Jerry Gray; Service Team: ; Supported by: ; Updated by: admin",203,945
CI000010177,miContracts,,mhubHR-ITMarriott-APPRV,Charles Bolinger,mhubHR-ITMarriott-Support,"Determine Software, Inc.","miCONTRACTS is a contract collaboration and compliance program used for all contractual requests including but not limited to requests for evaluating solutions/vendors (RFx), NDAs, new contracts, new transaction documents, change orders, amendments, renewals, terminations, dispute resolution, and contract inquiries. Requestors who submit requests through miCONTRACTS, can track the project status, run reports, receive email alerts, and view contracts in the repository.  Contracts can be approved and signed electronically, even via mobile devices.",,4 - not critical,Business Service,Updated attributes as per RITM002174414,,rthomas@runbox.com,global,,,,GT-HR-PROB,,,,Naveen Manga,Divya Shahani,Corporate Systems,,cspha088,"CI ID: CI000010177; Name: miContracts; Alias: ; Approval group: mhubHR-ITMarriott-APPRV; Managed by: Charles Bolinger; Support group: mhubHR-ITMarriott-Support; Manufacturer/Vendor: Determine Software, Inc.; Short Description: miCONTRACTS is a contract collaboration and compliance program used for all contractual requests inc; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: Updated attributes as per RITM002174414; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: GT-HR-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Divya Shahani; Service Team: Corporate Systems; Supported by: ; Updated by: cspha088",201,946
CI066227545,Microcall - Call Accounting Application,,CEC-Network-Services-APPRV,Craig Moore,CEC-Network-Services-Support,,,,1 – most critical,Business Service,Updated per SCTASK005235314.  CJ,,ijess202,global,,,,,,,,Matamatasua Tupai,Rhonda Lundsgaard,,,cejoh714,CI ID: CI066227545; Name: Microcall - Call Accounting Application; Alias: ; Approval group: CEC-Network-Services-APPRV; Managed by: Craig Moore; Support group: CEC-Network-Services-Support; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: 1 – most critical; Class: Business Service; Comments: Updated per SCTASK005235314.  CJ; Consumer type: ; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Matamatasua Tupai; Service Owner: Rhonda Lundsgaard; Service Team: ; Supported by: ; Updated by: cejoh714,174,947
CI000007961,Microsoft Outlook,,GWS-eMail&Mess-APPRV,Saurabh Ahuja,GWS-Messaging-Collaboration-Ops,,,,2 - somewhat critical,Business Service,,,kabinaya,global,,,,,,,,James Scholefield,Albert Simmons III,,,admin,CI ID: CI000007961; Name: Microsoft Outlook; Alias: ; Approval group: GWS-eMail&Mess-APPRV; Managed by: Saurabh Ahuja; Support group: GWS-Messaging-Collaboration-Ops; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: 2 - somewhat critical; Class: Business Service; Comments: ; Consumer type: ; Created by: kabinaya; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : James Scholefield; Service Owner: Albert Simmons III; Service Team: ; Supported by: ; Updated by: admin,157,948
BSN0002341,Microsoft Purview DLP - PROD,Enterprise Endpoint DLP Security,GIS-EndPoint-DLP--APPRV,Matthew Gonzalez,GIS-EndPoint-DLP-Support,,,,Tier 5,Business Service,Attributes updated as per RITM004371783,Internal,ijess202,global,GIS-EndPoint-DLP-Support,,,GIS-EndPoint-DLP-PROB,,,,Pedro Alvarez,Matthew Gonzalez,GIS,,mviju288,CI ID: BSN0002341; Name: Microsoft Purview DLP - PROD; Alias: Enterprise Endpoint DLP Security; Approval group: GIS-EndPoint-DLP--APPRV; Managed by: Matthew Gonzalez; Support group: GIS-EndPoint-DLP-Support; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: Attributes updated as per RITM004371783; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: GIS-EndPoint-DLP-Support; Parent: ; Problem Manager Group: ; Problem Owner Group: GIS-EndPoint-DLP-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Pedro Alvarez; Service Owner: Matthew Gonzalez; Service Team: GIS; Supported by: ; Updated by: mviju288,186,949
BSN0002327,Microsoft Syntex (Microsoft Add on) - Prod,,GD-Change-Management-APPRV,Margaret Macon Morrison,Global-Design-Portal-Support,,,,Tier 5,Business Service,,Internal,ijess202,global,Global-Design-Portal-Support,,,,,,,Naveen Manga,Charles Bolinger,,,mjcar171,CI ID: BSN0002327; Name: Microsoft Syntex (Microsoft Add on) - Prod; Alias: ; Approval group: GD-Change-Management-APPRV; Managed by: Margaret Macon Morrison; Support group: Global-Design-Portal-Support; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: Global-Design-Portal-Support; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Charles Bolinger; Service Team: ; Supported by: ; Updated by: mjcar171,170,950
BSN0001024,MicroStrategy 2020,MicroStrategy ,Data-MRW-APPRV,Nayan Bhattacharjee,Data-L3-Microstrategy-Support,,"Microstrategy  is a child service of MRW.
Marriott Rewards Warehouse is the consolidated repository of customer's data which in turn acts as a reporting feed for DSS (Decision Support Systems), Campaigns (Email and Postal) and Microstrategy tools. The main contents of the warehouse are customer profile information. The data will be used for assessing the effectiveness of marketing systems by generating reports.
Business Domain = Data & Personalization

Read more ..... https://confluence.marriott.com/pages/viewpage.action?pageId=170365633
================================================================
Revenue Generating = No
Service Map Status = New
Validated = Oct 2022
VBy = L3 Team",,Tier 5,Business Service,Details updated as per RITM004282655,Internal,ijess202,global,,Marriott Rewards Warehouse,ProblemManager_APS-PROB,,,,,Pranesh Halder,Shrikumar Sukhthankar,Application Production Support,Robert Campbell,isiva041,"CI ID: BSN0001024; Name: MicroStrategy 2020; Alias: MicroStrategy; Approval group: Data-MRW-APPRV; Managed by: Nayan Bhattacharjee; Support group: Data-L3-Microstrategy-Support; Manufacturer/Vendor: ; Short Description: Microstrategy  is a child service of MRW.
Marriott Rewards Warehouse is the consolidated repository ; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: Details updated as per RITM004282655; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: Marriott Rewards Warehouse; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Pranesh Halder; Service Owner: Shrikumar Sukhthankar; Service Team: Application Production Support; Supported by: Robert Campbell; Updated by: isiva041",209,951
CI000009874,MICS,,AHSMF-APPRV,Anne Jachimowski,AHSMF-SUPPORT,,"Marriott Information Resource Chargeback System (Billing Services) is responsible for the allocation of charges for IT services to the various departments within Marriott.  MICS collects, edits, and processes billing information.  This information is passed downstream to the GL and OFB systems for billing.",,3 - less critical,Business Service,,,rthomas@runbox.com,global,,,,FinanceSystems-PROB,,,,Sanchita Sarkar,Anne Jachimowski,Corporate Systems,,jsamd056,CI ID: CI000009874; Name: MICS; Alias: ; Approval group: AHSMF-APPRV; Managed by: Anne Jachimowski; Support group: AHSMF-SUPPORT; Manufacturer/Vendor: ; Short Description: Marriott Information Resource Chargeback System (Billing Services) is responsible for the allocation; Assigned to: ; Business criticality: 3 - less critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: FinanceSystems-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sanchita Sarkar; Service Owner: Anne Jachimowski; Service Team: Corporate Systems; Supported by: ; Updated by: jsamd056,180,952
CI000009875,MICS - Dev,,AHSMF-APPRV,Anne Jachimowski,AHSMF-SUPPORT,,"Marriott Information Resource Chargeback System (Billing Services) is responsible for the allocation of charges for IT services to the various departments within Marriott.  MICS collects, edits, and processes billing information.  This information is passed downstream to the GL and OFB systems for billing.",,4 - not critical,Business Service,,,rthomas@runbox.com,global,,,,FinanceSystems-PROB,,,,Sanchita Sarkar,Anne Jachimowski,Corporate Systems,,jsamd056,CI ID: CI000009875; Name: MICS - Dev; Alias: ; Approval group: AHSMF-APPRV; Managed by: Anne Jachimowski; Support group: AHSMF-SUPPORT; Manufacturer/Vendor: ; Short Description: Marriott Information Resource Chargeback System (Billing Services) is responsible for the allocation; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: FinanceSystems-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Sanchita Sarkar; Service Owner: Anne Jachimowski; Service Team: Corporate Systems; Supported by: ; Updated by: jsamd056,182,953
BSN0002343,miData,miData,mhubHR-ITMarriott-APPRV,Divya Shahani,mHubAOHRCore-Support,,MI Audit Tool For HR Professionals,,Tier 5,Business Service,,Internal,ijess202,global,mHubAOHRCore-Support,,,mHubAOHR-PROB,,,,Thaddeus Shepherd,Divya Shahani,Infrastructure – PaaS,,admin,CI ID: BSN0002343; Name: miData; Alias: miData; Approval group: mhubHR-ITMarriott-APPRV; Managed by: Divya Shahani; Support group: mHubAOHRCore-Support; Manufacturer/Vendor: ; Short Description: MI Audit Tool For HR Professionals; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: mHubAOHRCore-Support; Parent: ; Problem Manager Group: ; Problem Owner Group: mHubAOHR-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Thaddeus Shepherd; Service Owner: Divya Shahani; Service Team: Infrastructure – PaaS; Supported by: ; Updated by: admin,182,954
CI000010179,Military.com,,mhubHR-ITMarriott-APPRV,Paige Russell,mhubHR-ITMarriott-Support,Jibe,"Within Marriott's Careers site, the Military Occupation Code Translator Tool enables veterans and active duty returning military to map their military skills, experience, and training to current Marriott career opportunities.",,4 - not critical,Business Service,,,rthomas@runbox.com,global,,,,GT-HR-PROB,,,,Divya Shahani,Scott Wistner,Corporate Systems,,jsamd056,"CI ID: CI000010179; Name: Military.com; Alias: ; Approval group: mhubHR-ITMarriott-APPRV; Managed by: Paige Russell; Support group: mhubHR-ITMarriott-Support; Manufacturer/Vendor: Jibe; Short Description: Within Marriott's Careers site, the Military Occupation Code Translator Tool enables veterans and ac; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: ; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: GT-HR-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Divya Shahani; Service Owner: Scott Wistner; Service Team: Corporate Systems; Supported by: ; Updated by: jsamd056",187,955
CI054608044,MiSpecs,,MiSpecs-APPRV,William Gisriel,MiSpecs-Support,Rivet Logic,,,2 - somewhat critical,Business Service,Updated attributes as per RITM002174414,,ezhai301,global,,,,,,,,Naveen Manga,Divya Shahani,Corporate Systems,,cspha088,CI ID: CI054608044; Name: MiSpecs; Alias: ; Approval group: MiSpecs-APPRV; Managed by: William Gisriel; Support group: MiSpecs-Support; Manufacturer/Vendor: Rivet Logic; Short Description: ; Assigned to: ; Business criticality: 2 - somewhat critical; Class: Business Service; Comments: Updated attributes as per RITM002174414; Consumer type: ; Created by: ezhai301; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Divya Shahani; Service Team: Corporate Systems; Supported by: ; Updated by: cspha088,168,956
BSN0002793,MitraTech TeamConnect,,LAW-SOS-APPRV-AMER,David Sanders,LAWSOS-Support-AMER,,TeamConnect is a legal matter management platform that provides management and tracking of various Legal workflows and work efforts. ,,Tier 5,Business Service,,Internal,ijess202,global,,,,,,,,Gerald Nguyen,Regina Harward,,,ezhai301,CI ID: BSN0002793; Name: MitraTech TeamConnect; Alias: ; Approval group: LAW-SOS-APPRV-AMER; Managed by: David Sanders; Support group: LAWSOS-Support-AMER; Manufacturer/Vendor: ; Short Description: TeamConnect is a legal matter management platform that provides management and tracking of various L; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Gerald Nguyen; Service Owner: Regina Harward; Service Team: ; Supported by: ; Updated by: ezhai301,172,957
CI000007869,MMRS," Account Tracking, Omaha",MMRS-APPRV,Roger Bouharb,MMRS-Support,Marriott International,"MMRS: Marriott Management Reporting System
Documentation:
 https://marriottonline.sharepoint.com/sites/tbm/admkt/RM/Forms/AllItems.aspx?sortField=Modified&isAscending=false&id=%2Fsites%2Ftbm%2Fadmkt%2FRM%2F06%20%2D%20Knowledge%20Management%2FDOU%2FMMRS
Business Domain = Sales & Revenue Management
Read more from confluence page
 https://confluence.marriott.com/display/ELEVATE/MMRS

================================================================
Service Map Status = Completed
",Srikanth Thanigundala,Tier 1,Business Service,"MAP                                  
Details updated as per RITM004282655",,kabinaya,global,MMRS-Support,MMRS,ProblemManager_APS-PROB,RevenueMgmtApps-PROB,,,,Grace Chorey,Grace Chorey,Application Production Support,INDIRA SIVARCHAKA,rcamp253,"CI ID: CI000007869; Name: MMRS; Alias: Account Tracking, Omaha; Approval group: MMRS-APPRV; Managed by: Roger Bouharb; Support group: MMRS-Support; Manufacturer/Vendor: Marriott International; Short Description: MMRS: Marriott Management Reporting System
Documentation:
 https://marriottonline.sharepoint.com/sit; Assigned to: Srikanth Thanigundala; Business criticality: Tier 1; Class: Business Service; Comments: MAP                                  
Details updated as per RITM004282655; Consumer type: ; Created by: kabinaya; Domain: global; Managed By Group: MMRS-Support; Parent: MMRS; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: RevenueMgmtApps-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: INDIRA SIVARCHAKA; Updated by: rcamp253",223,958
CI025993809,MMRS-PLU,,MMRS-APPRV,Roger Bouharb,MMRS-Support,,"Child of MMRS
MMRS- PLU is Property look up application of MMRS
MMRS: Marriott Management Reporting System
Documentation:
 https://marriottonline.sharepoint.com/sites/tbm/admkt/RM/Forms/AllItems.aspx?sortField=Modified&isAscending=false&id=%2Fsites%2Ftbm%2Fadmkt%2FRM%2F06%20%2D%20Knowledge%20Management%2FDOU%2FMMRS
Business Domain = Sales & Revenue Management
Read more from confluence page
 https://confluence.marriott.com/display/ELEVATE/MMRS

================================================================
EAA Master ID = 103
Original 70 = No
Original 70 ID = 42
Top 25 = No
Revenue Generating = No
Business Domain = Sales & Revenue Management
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = 
VBy = L3 TEAM
",,Tier 1,Business Service,Details updated as per RITM004282655,,jbhow340,global,,MMRS,ProblemManager_APS-PROB,RevenueMgmtApps-PROB,,,,Grace Chorey,Grace Chorey,Application Production Support,INDIRA SIVARCHAKA,pgarg688,"CI ID: CI025993809; Name: MMRS-PLU; Alias: ; Approval group: MMRS-APPRV; Managed by: Roger Bouharb; Support group: MMRS-Support; Manufacturer/Vendor: ; Short Description: Child of MMRS
MMRS- PLU is Property look up application of MMRS
MMRS: Marriott Management Reporting ; Assigned to: ; Business criticality: Tier 1; Class: Business Service; Comments: Details updated as per RITM004282655; Consumer type: ; Created by: jbhow340; Domain: global; Managed By Group: ; Parent: MMRS; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: RevenueMgmtApps-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: INDIRA SIVARCHAKA; Updated by: pgarg688",210,959
CI005619848,Mobile,,Enterprise-Voice-APPRV,Bruce Nguyen,Service Desk-ENG-L1,,IT Delivery - End User Computing - End User Devices and Operating System - Mobile,,2 - somewhat critical,Business Service,,,jbhow340,global,,,,,,,,James Scholefield,Darren McMahon,,,admin,CI ID: CI005619848; Name: Mobile; Alias: ; Approval group: Enterprise-Voice-APPRV; Managed by: Bruce Nguyen; Support group: Service Desk-ENG-L1; Manufacturer/Vendor: ; Short Description: IT Delivery - End User Computing - End User Devices and Operating System - Mobile; Assigned to: ; Business criticality: 2 - somewhat critical; Class: Business Service; Comments: ; Consumer type: ; Created by: jbhow340; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : James Scholefield; Service Owner: Darren McMahon; Service Team: ; Supported by: ; Updated by: admin,160,960
