"u_ci_id","name","u_alias","short_description","support_group","managed_by_group","u_product_owners","parent","u_service_team","u_problem_owner_group","u_problem_manager_group","u_service_executive","owned_by","managed_by","change_control","assignment_group","u_product_owner_exe","manufacturer","assigned_to","sys_domain","comments","busines_criticality","sys_class_name","consumer_type","sys_created_by","u_revenue_impact","supported_by","sys_updated_by"
"CI000595822","eConfirmations","","eConfirmations is a service that encompasses all transactional emails (Confirmation, Pre-arrival, Cancellation and Redemption). All emails delivered by the following applications are in scope:
eConfo ,eFolio, CommEngine, AwardConfo
Business Domain = Reservations

refer to the below confluence link for more info
https://confluence.marriott.com/display/IM/eConfo+Functional+Documentation

============================================================================================
EAA Master ID = 208
Original 70 = Yes
Original 70 ID = 13
Top 25 = No
Revenue Generating = No
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = Waiting On Customer
Validated = Dec 2021
VBy = L3 Team
","Digital-Products-eConfo-Bundle","","","","Application Production Support","eConfirmations-PROB","ProblemManager_APS-PROB","Chris Hunter","Jagadish Ganapathinedi","Jagadish Ganapathinedi","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","","Tier 2","Business Service","","dcasillo","None","INDIRA SIVARCHAKA","isiva041"
"CI086529159","Hotel Booking Solutions Incorporated","IBS/HBSI 3rd Party  ","Third-Party Channel for Reservations processes
Business Domain = Reservations
========================================================================================================
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Jason Eilers","Jason Eilers","Lina Rotchadl","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","","Tier 1","Business Service","","ijess202","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI000620020","Decision Support Systems - DSS","","Decision Support Systems (DSS) Support Services  - Reporting, SAS, Billing & Liability Services. DSS is child/part of Marriott Rewards Warehouse (MRW).
Business Domain = Data & Personalization

Read more about MRW ..... https://confluence.marriott.com/pages/viewpage.action?pageId=170365633
================================================================
EAA Master ID = 
Original 70 = 
Original 70 ID = 
Top 25 = No
Revenue Generating = No
Business Domain = Data & Personalization
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
Validated = Mar 2022
VBy = Bhattacharjee, Nayan ","Data-L3-DSS-Support","","","Marriott Rewards Warehouse","Application Production Support","","ProblemManager_APS-PROB","Julia Morrison","Pranesh Halder","Nayan Bhattacharjee","Data-MRW-APPRV","","","","Nayan Bhattacharjee","global","Details updated as per RITM004282655","2 - somewhat critical","Business Service","","rthom260","None","INDIRA SIVARCHAKA","isiva041"
"CI003021352","Distributed Shopping Platform (DSP)","","DSP is the set of new APIs introduced as part of the Enhanced Reservation System (ERS). 
DSP Business Service is the child service under ERS Business Servie. ERS introduces a new reservations platform across Marriott's direct channels. Customers who book through Marriott.com or the Marriott mobile app, on property or through our Global Reservation Sales & Customer Care centers.  
Business Domain = Reservations

refer the below confluence link for more info
https://confluence.marriott.com/pages/viewpage.action?pageId=162151430

===============================================================================
Service Map Status = Completed
","Reservations-L3-Support-DSP-Compute-Node","","","Enhanced Reservation Solution (ERS)","Application Production Support","DSP-Compute-Node-PROB","ProblemManager_APS-PROB","Suraj Saraf","Mark Perine","Vijay Patel","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Srinivasa Nulu","global","MAP                              
Updated details as per RITM004282638","Tier 4","Business Service","","qdtra087","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI059159111","ComputeNode-DSP","ComputeNode MicroServices","Compute Node Receives Reservation resources from MARSHA and Property Data from InvWizard (Inventory Optimization ) and keeps in MCNC Couchbase, 
Compute Node hosts 15 Restful services to provide and update MCNC Couchbase resources, and keeps inventory in sync with DSP, is part of ERS. 
ComputeNode Business Service is the child service under ERS Business Servie.
It serves data back n forth from Reservations and Rev mgmt. systems. 
Business Domain = Reservations

refer to the below confluence link for more info
Read more:https://confluence.marriott.com/pages/viewpage.action?pageId=162151579

=============================================================================
Service Map Status = Completed
","Reservations-L3-Support-DSP-Compute-Node","","","Enhanced Reservation Solution (ERS)","Application Production Support","DSP-Compute-Node-PROB","ProblemManager_APS-PROB","Suraj Saraf","Mark Perine","Vijay Patel","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","MAP","Tier 2","Business Service","","ezhai301","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI004600786","Inventory Optimization (MIOS)","MIOS","Inventory Optimization (MIOS) : The main function of IO is to optimize room inventory and send the optimized room to MARSHA ( for optimizing what we are selling / esp., for attributed inventory).
 Inventory Wizard is part of Inventory Optimization (MIOS). 
Inventory Wizard - for properties' inventory set up / attribute definition
 refer the below confluence link for more details on MIOS.
Business Domain = Sales & Revenue Management

https://confluence.marriott.com/pages/viewpage.action?pageId=170365847

========================================================================================

Top 25 = Yes
Revenue Generating = No
Service Map Status = New

Validated = Dec 2021
VBy = L3 Team","IO-Support","","","","Application Production Support","RevenueMgmtApps-PROB","ProblemManager_APS-PROB","Suraj Saraf","Seth Lochen","Roger Bouharb","Incident-Mgmt-Consumer-Analytics-L2-APPRV","","","","Sneha Balakrishnan","global","MAP                                  
Details updated as per RITM004282655","Tier 3","Business Service","","ezhai301","None","INDIRA SIVARCHAKA","isiva041"
"BSN0003489","Workstation Imaging (SmartDeploy) - PROD","SmartDeploy","Modern Windows Workstation Imaging Process","GWS-L3-Marriott-Windows","GWS-L3-Marriott-Windows","","","GWS","","","Robert Peterscheck","Stephanie Smith","Michael Stotler","GWS-Windows-APPRV","","","","","global","","Tier 5","Calculated Application Service","Internal","mviju288","None","","isiva041"
"CI000007867","High Performance Pricing (HPP)","HPP","High Price Performance (HPP) : HPP streamlines the process of setting up and maintaining rates through a web-based user interface, publishes the rates to MARSHA, provide efficient rule management and makes them available for sale. It also provides automatic management of multiple level of rate relationship. 
Business Domain = Sales & Revenue Management
refer the below confluence link for more details.
https://confluence.marriott.com/display/IM/High+Performance+Pricing+%28HPP%29+Functional+Documentation
============================================================================================
EAA Master ID = 172
Original 70 = Yes
Original 70 ID = 26
Top 25 = Yes
Revenue Generating = No

APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = Waiting On Customer
Validated = Feb 2022
VBy = L3 Team
","Application-Business-Process-Help-Desk-Support","HPP-Support-L3","","","Application Production Support","RevenueMgmtApps-PROB","ProblemManager_APS-PROB","Suraj Saraf","Seth Lochen","Roger Bouharb","Incident-Mgmt-Consumer-Analytics-L2-APPRV","","","Marriott International","Vinoth Shanmugam","global","MAP                                  
Details updated as per RITM004282655","Tier 2","Business Service","","kabinaya","None","INDIRA SIVARCHAKA","isiva041"
"CI057761112","OneYield-IW - Availability ","","OneYield-IW - Availability is a child service to One Yield, it is UI for the ERS properties.
IW Availability screen shows the Inventory counts for  the ERS properties
One Yield (OY) : The main scope of the application is to predict the rates based on the historical data. One-Yield handles transient bookings. 
Business Domain = Sales & Revenue Management

Please refer to the below confluence link for more info
https://confluence.marriott.com/display/IM/One+Yield

THIS SERVICE IS STILL BEING USED BY ONEYIELD-CLOUD
INFRA IS HOSTED IN MCNC AWS PRIVATE CLOUD
================================================================
VBy OY Team-April 2025","Application-Business-Process-Help-Desk-Support","One-Yield-Support","","One Yield (OY)","Application Production Support","RevenueMgmtApps-PROB","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","Roger Bouharb","Incident-Mgmt-Consumer-Analytics-L2-APPRV","","","","Sneha Balakrishnan","global","Details updated as per RITM004282655","Tier 2","Business Service","","hmcon148","None","INDIRA SIVARCHAKA","isiva041"
"CI000539519","guestVoice","Medallia - 3rd Party service","guestvoice@marriott.com
This service collects guest stay info for the survey after the stay","Tier-1-Technical-Support-EG","","","","Application Production Support","","","PRASHANT GABA","Christopher Hofmann","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","INDIRA SIVARCHAKA","isiva041"
"CI086529163","Amadeus","GDS 3rd Party","Third-Party Channel for Reservations processes
Business Domain = Reservations
========================================================================================================
Top 25 = Yes
Revenue Generating = Yes

APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Jason Eilers","Jason Eilers","Lina Rotchadl","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Lina Rotchadl","global","","Tier 5","Business Service","","ijess202","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI086529184","Roominglist.com","3rd Party","Third-Party Channel for Reservations processes
Business Domain = Reservations
========================================================================================================
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Jason Eilers","Jason Eilers","Rahul Saxena","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Lina Rotchadl","global","Updated details as per RITM004282638","Tier 2","Business Service","","ijess202","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI028359866","ERS Photography","","Child Service of ERS
Business Domain = Reservations
ERS Photography - Refer Enhaced Reservation solution 
Read more: https://confluence.marriott.com/pages/viewpage.action?pageId=71565396
=====================================================================================
EAA Master ID = 202
Original 70 = No
Original 70 ID = 20
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = NA
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA
","ERS-Photography-Support","","","Enhanced Reservation Solution (ERS)","Application Production Support","","ProblemManager_APS-PROB","Suraj Saraf","Mark Perine","Vijay Patel","Digital-IT-L3-Support-APPRV","","","","Srinivasa Nulu","global","CI updated as per: RITM003111390 Updated details as per RITM004282638","3 - less critical","Business Service","","qdtra087","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI058222611","Travel Mediator Application (TMA)","","TMA is a mediator application. The customers served by the Direct Drive Corporate Booking application are part of the Rewards program for Corporate Travelers. TMA is mediator application that  pushes the itineraries to Concur.  
It Publish the corporate customer reservations from Marriott.com to COncur Via TMA for business travel expenses handling in one place(Concur) by corporate companies.
refer to the below confluence link for more details
Business Domain = API
Read more:
https://confluence.marriott.com/display/IM/TMA
===============================================================================
Service Map Status = Completed

Reviewed with app team in Feb 2025
","IncidentMgmt-Digital-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Lakshmikanth Tripuraneni","Udaya Bhanu Sajjanapu","Rahul Saxena","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","MAP                              Updated details as per RITM004282638","Tier 1","Business Service","","ezhai301","None","INDIRA SIVARCHAKA","isiva041"
"BSN0003415","PCM (People Cloud Messaging)","PCM 3rd Party Service","Marketing Email Service Provider/Platform","Vendor-Applications-MDS-Support-US-CAN","","","","Application Production Support","","","Hilary Cook","Frank Biggerstaff","Frank Biggerstaff","Vendor-Applications-MDS-APPRV-US-CAN","","","","","global","","Tier 2","Calculated Application Service","Internal","mviju288","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI086529175","Marriott Vacations Worldwide - Sales Channel","MVCI MVW (3rd Party)","Business Domain = Reservations
","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","Grace Chorey","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","Updated details as per RITM004282638","Tier 2","Business Service","","ijess202","None","INDIRA SIVARCHAKA","isiva041"
"CI086529161","Hotels.com","3rd Party"," Third-Party Channels for Reservations processes
Business Domain = Reservations
========================================================================================================
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Jason Eilers","Jason Eilers","Rahul Saxena","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Lina Rotchadl","global","Updated details as per RITM004282638","Tier 2","Business Service","","ijess202","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI000007872","OSCAR","Optical Storage Collection and Retrieval"," OSCAR : Optical Storage Collection and Retrieval. Optical Storage Collection and Retrieval (OSCAR) provides past guest history (for 18 months from check out date) made in MARSHA.
OSCAR holds past 3 years of Reservation data, and older than 18 months data can be retrieved from tape files.

Documentation: 
https://confluence.marriott.com/pages/viewpage.action?pageId=162149379

================================================================



","OSCAR-Support-L3","","","","Application Production Support","","ProblemManager_APS-PROB","Brian Thompson","Brian Thompson","Brian Thompson","OMNI-APPRV","","","Marriott International","","global","MAP                                  
Details updated as per RITM004282655","Tier 2","Business Service","","kabinaya","None","INDIRA SIVARCHAKA","isiva041"
"BSN0001347","Triometric Monitoring Tool","OTA Insights Triometric Monitoring Tool","","Distribution-Connectivity-Support","","","","","","","Thomas Bruno","Brian Salvato","Brian Salvato","ICD-Public-Cloud-Platform-APPRV","","","","","global","","Tier 2","Business Service","Internal","ijess202","None","","isiva041"
"CI086528939","China Online","3rd Party","Global Distribution System (GDS) Partners, Online Travel Agencies (OTA), or some of the Third-Party Channels for Reservations processes

========================================================================================================
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Jason Eilers","Jason Eilers","Lina Rotchadl","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Lina Rotchadl","global","","Tier 2","Business Service","","ijess202","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI000007898","MARSHA","Reservations","Marriott's Automated Reservations System for Hotel Accomodations (MARSHA)  : MARSHA is the Reservation System. 
Business Domain = Reservations
refer the below confluence link for more info
https://confluence.marriott.com/display/IM/MARSHA+Functional+Documentation

===============================================================================


","Application-Business-Process-Help-Desk-Support","","","","Application Production Support","MARSHA-PROB","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","Grace Chorey","ICD-Mainframe Services-APPRV","","","Marriott International","","global","MAP                              
Updated details as per RITM004282638","Tier 1","Business Service","","kabinaya","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI057761108","OneYield-IW UI","","OneYield-IW UI  is a child service to One Yield, it is UI for Inventory Wizard Set up screen.
One Yield (OY) : The main scope of the application is to predict the rates based on the historical data. One-Yield handles transient bookings. 
Please refer to the below confluence link for more info
https://confluence.marriott.com/display/IM/One+Yield

THIS SERVICE IS STILL BEING USED BY ONEYIELD-CLOUD
INFRA IS HOSTED IN MCNC AWS PRIVATE CLOUD
================================================================
VBy OY Team-April 2025","Application-Business-Process-Help-Desk-Support","One-Yield-Support","","One Yield (OY)","Application Production Support","RevenueMgmtApps-PROB","ProblemManager_APS-PROB","Grace Chorey","Grace Chorey","Roger Bouharb","Incident-Mgmt-Consumer-Analytics-L2-APPRV","","","","Sneha Balakrishnan","global","Details updated as per RITM004282655","Tier 2","Business Service","","hmcon148","None","INDIRA SIVARCHAKA","isiva041"
"CI058222609","Member Communication Service","","Member Communication Service : Is a cross domain orchestration service to initiate email alert for email, phone, instant cc and password. 
This Application performs the below steps:
Consume messages from profile alert topic.
Integrate and call E APIs (contact-information, personal-information, names and email-history) and create request.
Integrate with eConfo service using SOAP client and call ""ProcessEmailMessage"" service operation
Business Domain = Reservations
================================================================
EAA Master ID = 
Original 70 = No
Original 70 ID = 
Top 25 = No
Revenue Generating = No
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = Complete
Service Map Status = NA
VBy = L3 Team","Digital-Products-eConfo-Bundle","","","","Application Production Support","","ProblemManager_APS-PROB","Chris Hunter","Jagadish Ganapathinedi","Jagadish Ganapathinedi","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","","global","","Tier 2","Business Service","","ezhai301","None","INDIRA SIVARCHAKA","isiva041"
"CI000010571","Salesforce EMPOWER: Customer Engagement (ENGAGE)","Engage","Salesforce EMPOWER: Customer Engagement (ENGAGE)
Business Domain = Global Operations
===============================================================================
Service Map Status = NA
","IncidentMgmt-GlobalOperations-L2-Support","","","","Application Production Support","GlobalOps-L3-Support-Salesforce-PROB","ProblemManager_APS-PROB","Jennifer Sanders","Amaan Ghazaly","Grace Chorey","Incident-Mgmt-GlobalOperations-L2-Support-APPRV","","","","","global","MAP                                  
Details updated as per RITM004282655","Tier 2","Business Service","","rthomas@runbox.com","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"BSN0003000","DevCon","DevCon","DevCon is an internal development platform which gives product and technology teams quick access to create, iterate on, and deploy new product offerings.","ICD-DevOps-Support","ICD-DevOps-Support","","","Infrastructure – IaaS","","","Adnan Haq","Adnan Haq","Sean Corkum","ICD-DevOps-APPRV","","","","","global","","Tier 1","Business Service","Internal","pgarg688","Revenue Impacting (Non-Revenue Generating)","","isiva041"
"CI086529180","DHISCO (Pegasus)","GDS 3rd Party","Global Distribution System (GDS) Partners, Online Travel Agencies (OTA), or some of the Third-Party Channels for Reservations processes

==========================================================================================================
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Jason Eilers","Jason Eilers","Lina Rotchadl","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Lina Rotchadl","global","","Tier 1","Business Service","","ijess202","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI000007866","CTAC (Centralized Travel Agency Commission)","Source Data-ARC, Claresco, IMS, Librix ","CTAC system calculates the commission for the stays booked by travel agents at Marriott hotels and pay the commission amount weekly to the Transient and Group Intermediaries.
Business Domain = Sales & Revenue Management

Refer to the below confluence link for more info
https://confluence.marriott.com/pages/viewpage.action?pageId=170365753

Business Criticality Changed to Tier 2 as confirmed by CTAC application team
===========================================================================================

Top 25 = Yes
Revenue Generating = No
Service Map Status = New
","CTAC-Support","","","CTAC (Centralized Travel Agency Commission)","Application Production Support","","ProblemManager_APS-PROB","Daniel McCarron","Kimberly Burnett","Amy Kelly","Incident-Mgmt-Consumer-Analytics-L2-APPRV","","","Marriott International","","global","CI updated as per: RITM002394585","Tier 2","Business Service","","kabinaya","None","INDIRA SIVARCHAKA","isiva041"
"CI086529188","CTRIP","3rd Party (Trip.com - China)","Online Travel Agencies (OTA), or some of the Third-Party Channels for Reservations processes

==========================================================================================================
Top 25 = Yes
Revenue Generating = Yes
Business Domain = Reservations
APS-Config-TM = Indira Sivarchaka
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = NA
VBy = NA","IncidentMgmt-Reservations-L2-Support","","","","Application Production Support","","ProblemManager_APS-PROB","Jason Eilers","Jason Eilers","Rahul Saxena","Incident-Mgmt-DigitalAndReservations-L2-APPRV","","","","Lina Rotchadl","global","Updated details as per RITM004282638","Tier 1","Business Service","","ijess202","Revenue Generating","INDIRA SIVARCHAKA","isiva041"
"CI000009791","Credit Card Processing","","Property credit card processing including authorization, tokenization, and settlement processing.","FreedomPay-Application-Marriott-Support","","","","Corporate Systems","FinanceSystems-PROB","","Joseph Fernandez","Shastri Maraj","Rimalyn Gamboa","Payment-Products-APPRV","","","","","global","","1 - most critical","Business Service","","rthomas@runbox.com","None","","jafer810"
"CI070096580","FreedomPay - Support","","For Post Deployment support issues NOT related to the Ingenico Payment Terminals, transaction processing errors, or the customer portal.","FreedomPay-Application-Marriott-Support","","","","GO & Empower App Dev & Support","","ProblemManager_APS-PROB","Joseph Fernandez","Shastri Maraj","Yazir Soriano","Payment-Products-APPRV","","","","","global","CI updated as per: RITM003537118","2 - somewhat critical","Business Service","","jbhow340","Revenue Generating","","jafer810"
"CI017865750","OY Approvals Support","OY Approval","OYS Approval Support requested by Jenn Pickles 9/6/2018
*Updated 12/27/2024* Previous manager Tabatha Kanney should be replaced with current manager Jason Lupton who now oversees the One Yield groups, thank you
**This was already updated in SNOW to Jason Lupton in 2023**","One-Yield-Admin-Help-Desk-Support","","","","","","","Charles Dixon","Jason Lupton","Jason Lupton","One-Yield-Help-Desk-APPRV","","","","Tabatha Kanney","global","","2 - somewhat critical","Business Service","","qdtra087","None","","jdlup652"
"BSN0002901","FreedomPay - Book4Time","","","FreedomPay-Application-Marriott-Support","FreedomPay-Application-Marriott-Support","","","US/Can - iT Support","","","Douglas Leonard","Douglas Leonard","Rimalyn Gamboa","FreedomPay-APPRV","","","","","global","","Tier 1","Business Service","Internal","ezhai301","Revenue Generating","","jjdio738"
"CI070270911","Marriott's Automated Risk Trends and Insights (MARTI)","MARTI","","MARTI-Support","","","","GIS","","","Kathleen Sequeira","Joseph Kuti","Joseph Kuti","MARTI-APPRV-AMER","","Kathleen Sequeira","Tredence Inc.","","global","","Tier 5","Business Service","","nurma429","None","","jkuti432"
"BSN0002955","Veeam Backup","","","ICD-Property-Ops","ICD-Property-Ops","","","","","","Adnan Haq","Jason Lehr","Jason Lehr","ICD-Property-Systems-APPRV","","","","","global","","Tier 2","Business Service","Internal","ezhai301","None","","jlehr300"
"BSN0001018","Salesforce - Commerce Partner Portal","CPP"," Commerce Partner Portal is a Salesforce application to support partnerships with 3rd party companies.  The application is used to initiate provisioning for the partners in Marriott systems (Loyalty, CIAM, Akana, etc) as well as provide details to the partners on how to integrate with Marriott systems in support of the partnership. 
--------------------------------------------------------------------------------------------------------------------------------------------------------
EAA Master ID = 
Original 70 = No
Original 70 ID = 
Top 25 = No
Revenue Generating = No
Business Domain = Global Operations

Service Map Status = NA
","Salesforce-CPP-L3-Support","","","","Application Production Support","Salesforce-CPP-PROB","ProblemManager_APS-PROB","Jennifer McAleer","Jeremy Plesser","Jeremy Plesser","Salesforce-CPP-APPRV","","Ellen Humphreys","salesforce.com","","global","","Tier 3","Business Service","Internal","ijess202","None","Robert Campbell","jples094"
"CI000539586","SafLok","","Key Lock Vendor","Tier-1-Technical-Support-EG","","","","Application Production Support","","","Oliver Meinzer","Oliver Meinzer","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","Robert Campbell","jsamd056"
"CI000539618","The Platform/Videohub","","Service Desk","Tier-1-Technical-Support-EG","","","","","","","John Shepard","John Shepard","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
"CI000539577","Polar","","Risk Management Support","Tier-1-Technical-Support-EG","","","","","","","John Shepard","Naveen Manga","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
"CI000539631","Wetransfer","","","Tier-1-Technical-Support-EG","","","","","","","John Shepard","Naveen Manga","Bruce Nguyen","Global Service Desk-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
"BSN0001307","Cornell University - ASP - Test","eCornell","Learning Content.","mhubHR-ITMarriott-Support","","","","Corporate Systems","GT-HR-PROB","ProblemManager_APS-PROB","Divya Shahani","Scott Wistner","Rebecca Stouter","mhubHR-ITMarriott-APPRV","","","Cornell University","","global","","Tier 4","Business Service","Internal","ijess202","None","","jsamd056"
"CI006791597","Bank of America – CC Interface for Rewards Points","BOA","Bank of America - Credit Card Interface for Purchasing Marriott Rewards Points 
Requested by Shawn Heck and Russ Johnson","Cybersource-Support","","","","Corporate Systems","","","Sanchita Sarkar","Anne Jachimowski","Shawn Heck","Cybersource-APPRV","","","","","global","","2 - somewhat critical","Business Service","","jbhow340","None","","jsamd056"
"CI000009781","CFRST Email Processor","","Application that processes email attachements containing financial data and transfers the attached reports to a location to be processed by MRDW.","AHSMSAPPS-SUPPORT","","","","Corporate Systems","FinanceSystems-PROB","","Sanchita Sarkar","Anne Jachimowski","Anne Jachimowski","AHSAPPMSACCESS-APPRV","","","Accenture","","global","","3 - less critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
"CI000009802","DRS - Digital Repository System","","Xerox Image Respository portal","Financial-Application-Support-Helpdesk","","","","Corporate Systems","FinanceSystems-PROB","","Sanchita Sarkar","Anne Jachimowski","Anne Jachimowski","AHSFIN-APPRV","","","Accenture","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
"CI000009785","Concur Expense","","The Concur application is a web-based expense account application used to automate internal expense reporting.","Financial-Application-Support-Helpdesk","","","","Corporate Systems","FinanceSystems-PROB","","Sanchita Sarkar","Anne Jachimowski","Anne Jachimowski","AHSFIN-APPRV","","","Accenture","","global","","2 - somewhat critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
"CI000009815","Enterprise Admin Access  DB","","Facilitate the annual budget processes and to provide management financial reporting for Admin units.","AHSMSAPPS-SUPPORT","","","","Corporate Systems","FinanceSystems-PROB","","Sanchita Sarkar","Anne Jachimowski","Anne Jachimowski","AHSAPPMSACCESS-APPRV","","","Accenture","","global","","3 - less critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
"CI000009876","MOSAIC","","Mosaic is an expense and project costing system used by corporate IT, Global Design, and HR for associate time tracking and to manage costs throughout a project.","AHSP2P-SUPPORT","","","","Corporate Systems","FinanceSystems-PROB","","Sanchita Sarkar","Anne Jachimowski","Anne Jachimowski","AHSMOSAIC-APPRV","","","","","global","CI updated as per: RITM002390512","Tier 5","Business Service","","rthomas@runbox.com","None","","jsamd056"
"CI000007756","Hourly Performance - HPP - Quintela - ASP","HPP, Quintela","Hourly Performance Process application, hosted by Quintela.  Provide an hourly performance template for managers to complete and save","mhubHR-ITMarriott-Support","","","","Corporate Systems","GT-HR-PROB","","Divya Shahani","Scott Wistner","Richard Hor","mhubHR-ITMarriott-APPRV","","","Quintela","","global","","3 - less critical","Business Service","","kabinaya","None","","jsamd056"
"CI000007768","my4DX - ASP","Breakthrough Leaderhip Training (BLT), F","my4DX is a software platform that complements the Breakthrough Leadership program across the Americas. It enables tracking of Wildly Important Goals, Lead Measures and Hotel Rollup Performance measurements.","mhubHR-ITMarriott-Support","","","","Corporate Systems","GT-HR-PROB","","Divya Shahani","Scott Wistner","Rebecca Stouter","mhubHR-ITMarriott-APPRV","","","BahrCode","","global","","3 - less critical","Business Service","","kabinaya","None","","jsamd056"
"CI000007771","Talent Network Team - TNT - ASP","TNT","Talent Network - Allows VPs to submit Business Challenges for associates to volunteer to ideate, collaborate and build relationships while developing solutions to the various challenges.","mhubHR-ITMarriott-Support","","","","Corporate Systems","GT-HR-PROB","","Divya Shahani","Scott Wistner","Divya Shahani","mhubHR-ITMarriott-APPRV","","","Pattern LLC.","","global","","3 - less critical","Business Service","","kabinaya","None","","jsamd056"
"CI000009905","Project Costing (PC)","","Project Costing.","AHSP2P-SUPPORT","","","","Corporate Systems","FinanceSystems-PROB","","Sanchita Sarkar","Anne Jachimowski","Anne Jachimowski","AHSFIN-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","jsamd056"
